Timestamp,Date,Gold Price
2011-12-14 08:40:00,2011-12-14,562000
2011-12-15 08:10:00,2011-12-15,559000
2011-12-16 08:15:00,2011-12-16,650000
2011-12-16 08:20:00,2011-12-16,560000
2011-12-19 08:45:00,2011-12-19,564000
2011-12-20 00:00:00,2011-12-20,565000
2011-12-21 08:15:00,2011-12-21,569000
2011-12-22 08:30:00,2011-12-22,568000
2011-12-23 08:15:00,2011-12-23,567000
2011-12-27 08:30:00,2011-12-27,563000
2011-12-28 08:30:00,2011-12-28,563000
2011-12-29 08:10:00,2011-12-29,557000
2011-12-30 08:30:00,2011-12-30,555000
2012-01-02 00:00:00,2012-01-02,555000
2012-01-03 00:00:00,2012-01-03,559000
2012-01-04 08:30:00,2012-01-04,565000
2012-01-05 00:00:00,2012-01-05,566000
2012-01-06 00:00:00,2012-01-06,567000
2012-01-09 08:30:00,2012-01-09,565000
2012-01-10 08:30:00,2012-01-10,566000
2012-01-11 08:30:00,2012-01-11,570000
2012-01-12 08:30:00,2012-01-12,571000
2012-01-13 08:30:00,2012-01-13,572000
2012-01-16 08:30:00,2012-01-16,565000
2012-01-17 08:30:00,2012-01-17,566000
2012-01-18 00:00:00,2012-01-18,567000
2012-01-19 08:30:00,2012-01-19,564000
2012-01-20 08:30:00,2012-01-20,559000
2012-01-24 08:30:00,2012-01-24,559000
2012-01-25 08:30:00,2012-01-25,557000
2012-01-26 08:30:00,2012-01-26,571000
2012-01-27 08:30:00,2012-01-27,572000
2012-01-30 08:15:00,2012-01-30,573000
2012-01-31 09:00:00,2012-01-31,570000
2012-02-01 08:00:00,2012-02-01,571000
2012-02-02 08:00:00,2012-02-02,574000
2012-02-03 08:00:00,2012-02-03,569000
2012-02-03 11:45:00,2012-02-03,573000
2012-02-06 08:30:00,2012-02-06,565000
2012-02-07 09:00:00,2012-02-07,564000
2012-02-08 08:30:00,2012-02-08,570000
2012-02-09 08:30:00,2012-02-09,568000
2012-02-10 08:20:00,2012-02-10,566000
2012-02-13 08:30:00,2012-02-13,570000
2012-02-14 09:00:00,2012-02-14,570000
2012-02-15 08:00:00,2012-02-15,570000
2012-02-16 08:00:00,2012-02-16,572000
2012-02-17 08:30:00,2012-02-17,572000
2012-02-20 08:30:00,2012-02-20,576000
2012-02-21 08:30:00,2012-02-21,576000
2012-02-22 08:30:00,2012-02-22,581000
2012-02-23 08:30:00,2012-02-23,588000
2012-02-24 08:30:00,2012-02-24,589000
2012-02-27 08:30:00,2012-02-27,588000
2012-02-28 08:30:00,2012-02-28,588000
2012-02-29 08:30:00,2012-02-29,592000
2012-03-01 08:30:00,2012-03-01,578000
2012-03-02 08:30:00,2012-03-02,579000
2012-03-05 08:30:00,2012-03-05,578000
2012-03-06 08:15:00,2012-03-06,577000
2012-03-07 09:00:00,2012-03-07,573000
2012-03-08 08:30:00,2012-03-08,575000
2012-03-09 08:15:00,2012-03-09,577000
2012-03-12 09:00:00,2012-03-12,578000
2012-03-13 08:30:00,2012-03-13,576000
2012-03-14 09:00:00,2012-03-14,571000
2012-03-15 08:30:00,2012-03-15,567000
2012-03-16 08:30:00,2012-03-16,570000
2012-03-19 00:00:00,2012-03-19,571000
2012-03-20 09:00:00,2012-03-20,571500
2012-03-21 09:00:00,2012-03-21,569000
2012-03-22 08:00:00,2012-03-22,570000
2012-03-26 08:30:00,2012-03-26,573000
2012-03-27 09:00:00,2012-03-27,579000
2012-03-28 08:30:00,2012-03-28,579000
2012-03-29 08:00:00,2012-03-29,576000
2012-03-30 09:00:00,2012-03-30,576000
2012-04-02 08:30:00,2012-04-02,579000
2012-04-03 09:00:00,2012-04-03,579000
2012-04-04 08:00:00,2012-04-04,574000
2012-04-05 08:30:00,2012-04-05,568000
2012-04-09 09:00:00,2012-04-09,574000
2012-04-10 09:00:00,2012-04-10,574000
2012-04-11 08:00:00,2012-04-11,574000
2012-04-12 08:30:00,2012-04-12,575000
2012-04-13 09:00:00,2012-04-13,577000
2012-04-16 08:15:00,2012-04-16,568000
2012-04-17 08:30:00,2012-04-17,567000
2012-04-18 08:00:00,2012-04-18,567000
2012-04-19 08:30:00,2012-04-19,570000
2012-04-23 08:30:00,2012-04-23,564500
2012-04-24 08:30:00,2012-04-24,564500
2012-04-25 08:00:00,2012-04-25,565000
2012-04-26 08:30:00,2012-04-26,565000
2012-04-27 08:00:00,2012-04-27,565500
2012-04-30 08:30:00,2012-04-30,565000
2012-05-01 08:30:00,2012-05-01,563000
2012-05-02 08:20:00,2012-05-02,559000
2012-05-03 08:30:00,2012-05-03,555000
2012-05-04 08:00:00,2012-05-04,554000
2012-05-04 13:00:00,2012-05-04,555000
2012-05-07 08:00:00,2012-05-07,558000
2012-05-08 08:00:00,2012-05-08,558000
2012-05-09 08:00:00,2012-05-09,554000
2012-05-10 00:00:00,2012-05-10,552000
2012-05-10 08:00:00,2012-05-10,554000
2012-05-10 08:30:00,2012-05-10,552000
2012-05-11 08:00:00,2012-05-11,553000
2012-05-14 08:00:00,2012-05-14,553000
2012-05-14 08:05:00,2012-05-14,553000
2012-05-15 00:00:00,2012-05-15,553000
2012-05-16 08:00:00,2012-05-16,549500
2012-05-21 08:30:00,2012-05-21,552500
2012-05-21 08:40:00,2012-05-21,552500
2012-05-22 08:30:00,2012-05-22,552500
2012-05-23 08:00:00,2012-05-23,550500
2012-05-24 08:00:00,2012-05-24,550500
2012-05-25 08:00:00,2012-05-25,550500
2012-05-25 08:05:00,2012-05-25,550500
2012-05-28 08:00:00,2012-05-28,552000
2012-05-29 08:00:00,2012-05-29,555000
2012-05-30 08:00:00,2012-05-30,551000
2012-05-31 08:00:00,2012-05-31,556000
2012-06-01 08:00:00,2012-06-01,555000
2012-06-04 08:00:00,2012-06-04,563000
2012-06-05 07:40:00,2012-06-05,565000
2012-06-06 07:40:00,2012-06-06,565000
2012-06-07 07:40:00,2012-06-07,565000
2012-06-08 07:40:00,2012-06-08,560000
2012-06-11 08:00:00,2012-06-11,565000
2012-06-12 08:00:00,2012-06-12,561000
2012-06-13 08:00:00,2012-06-13,563000
2012-06-14 08:00:00,2012-06-14,564000
2012-06-15 08:00:00,2012-06-15,566000
2012-06-18 07:45:00,2012-06-18,566000
2012-06-19 08:15:00,2012-06-19,567000
2012-06-20 08:00:00,2012-06-20,565000
2012-06-21 08:00:00,2012-06-21,563000
2012-06-22 08:00:00,2012-06-22,557000
2012-06-25 08:20:00,2012-06-25,557000
2012-06-26 08:00:00,2012-06-26,559000
2012-06-27 08:00:00,2012-06-27,558000
2012-06-28 08:00:00,2012-06-28,558000
2012-06-29 08:00:00,2012-06-29,555000
2012-07-02 08:20:00,2012-07-02,562000
2012-07-03 08:00:00,2012-07-03,558000
2012-07-04 08:25:00,2012-07-04,565000
2012-07-05 08:00:00,2012-07-05,560000
2012-07-06 08:00:00,2012-07-06,559000
2012-07-09 08:00:00,2012-07-09,555000
2012-07-10 08:30:00,2012-07-10,556000
2012-07-11 00:00:00,2012-07-11,555000
2012-07-12 08:20:00,2012-07-12,554000
2012-07-13 08:10:00,2012-07-13,551000
2012-07-13 08:15:00,2012-07-13,551000
2012-07-16 00:00:00,2012-07-16,559000
2012-07-17 00:00:00,2012-07-17,559000
2012-07-18 00:00:00,2012-07-18,555000
2012-07-19 08:00:00,2012-07-19,551000
2012-07-20 08:00:00,2012-07-20,554000
2012-07-23 08:10:00,2012-07-23,554000
2012-07-24 00:00:00,2012-07-24,554000
2012-07-25 08:00:00,2012-07-25,555000
2012-07-26 08:30:00,2012-07-26,560000
2012-07-27 08:45:00,2012-07-27,564000
2012-07-30 08:00:00,2012-07-30,565000
2012-07-31 08:30:00,2012-07-31,565000
2012-08-01 07:50:00,2012-08-01,562000
2012-08-02 08:30:00,2012-08-02,561000
2012-08-03 08:30:00,2012-08-03,559000
2012-08-06 08:20:00,2012-08-06,562000
2012-08-07 08:00:00,2012-08-07,563000
2012-08-08 08:00:00,2012-08-08,563000
2012-08-09 08:10:00,2012-08-09,563000
2012-08-10 08:50:00,2012-08-10,562000
2012-08-13 08:00:00,2012-08-13,563000
2012-08-14 08:00:00,2012-08-14,560000
2012-08-15 07:50:00,2012-08-15,558000
2012-08-16 08:00:00,2012-08-16,558000
2012-08-23 07:45:00,2012-08-23,570000
2012-08-24 08:00:00,2012-08-24,574000
2012-08-27 08:30:00,2012-08-27,575500
2012-08-28 00:00:00,2012-08-28,572000
2012-08-29 08:15:00,2012-08-29,572500
2012-08-30 08:20:00,2012-08-30,570000
2012-08-31 08:00:00,2012-08-31,571000
2012-09-03 08:00:00,2012-09-03,581000
2012-09-04 08:15:00,2012-09-04,583000
2012-09-05 08:15:00,2012-09-05,583000
2012-09-06 08:00:00,2012-09-06,583000
2012-09-07 08:00:00,2012-09-07,584000
2012-09-10 08:20:00,2012-09-10,599000
2012-09-11 08:15:00,2012-09-11,596000
2012-09-12 08:00:00,2012-09-12,596000
2012-09-13 08:30:00,2012-09-13,595200
2012-09-14 08:15:00,2012-09-14,607200
2012-09-17 07:55:00,2012-09-17,608200
2012-09-18 08:00:00,2012-09-18,596200
2012-09-19 08:00:00,2012-09-19,601200
2012-09-20 00:00:00,2012-09-20,605200
2012-09-21 08:00:00,2012-09-21,604200
2012-09-24 08:00:00,2012-09-24,604200
2012-09-25 08:00:00,2012-09-25,604200
2012-09-26 07:45:00,2012-09-26,604200
2012-09-27 08:00:00,2012-09-27,604200
2012-09-28 00:00:00,2012-09-28,610200
2012-10-01 08:00:00,2012-10-01,605200
2012-10-02 08:00:00,2012-10-02,609200
2012-10-03 00:00:00,2012-10-03,607200
2012-10-04 00:00:00,2012-10-04,609200
2012-10-05 00:00:00,2012-10-05,614200
2012-10-08 00:00:00,2012-10-08,610200
2012-10-09 00:00:00,2012-10-09,609200
2012-10-10 00:00:00,2012-10-10,606200
2012-10-11 00:00:00,2012-10-11,606200
2012-10-12 00:00:00,2012-10-12,609200
2012-10-15 00:00:00,2012-10-15,603200
2012-10-16 00:00:00,2012-10-16,603200
2012-10-17 00:00:00,2012-10-17,606200
2012-10-18 08:30:00,2012-10-18,604200
2012-10-19 08:00:00,2012-10-19,601200
2012-10-22 08:00:00,2012-10-22,594200
2012-10-22 12:00:00,2012-10-22,598200
2012-10-23 08:30:00,2012-10-23,600200
2012-10-24 08:30:00,2012-10-24,596200
2012-10-25 08:00:00,2012-10-25,596200
2012-10-29 08:00:00,2012-10-29,597200
2012-10-30 08:00:00,2012-10-30,595200
2012-10-31 08:00:00,2012-10-31,596200
2012-11-01 08:00:00,2012-11-01,599200
2012-11-02 08:15:00,2012-11-02,599200
2012-11-05 08:15:00,2012-11-05,594200
2012-11-06 08:30:00,2012-11-06,594200
2012-11-07 00:00:00,2012-11-07,598200
2012-11-07 12:00:00,2012-11-07,602200
2012-11-08 00:00:00,2012-11-08,602200
2012-11-09 00:00:00,2012-11-09,605200
2012-11-12 08:00:00,2012-11-12,606200
2012-11-13 09:00:00,2012-11-13,602000
2012-11-13 09:05:00,2012-11-13,602200
2012-11-14 08:00:00,2012-11-14,602200
2012-11-19 08:00:00,2012-11-19,599200
2012-11-20 08:00:00,2012-11-20,602200
2012-11-21 08:00:00,2012-11-21,602200
2012-11-22 08:00:00,2012-11-22,602200
2012-11-23 08:00:00,2012-11-23,602200
2012-11-26 00:00:00,2012-11-26,606200
2012-11-27 08:30:00,2012-11-27,606200
